term,category,hasSyn,id,ext_id,remark
a_shaped,shape,0,1,,
abbreviated,size,0,2,,
abbreviatus,structure,0,3,,
abdomen,structure,0,4,,
abdomen_shaped,shape,0,5,,
abdominal,position,0,6,,
aberrant,normality,0,7,,
abnormal,normality,0,8,,
abode,presence,0,9,,
abrupt,shape,0,10,,
absence,character,1,11,,
abundance,density,1,12,,
accessory,structure,0,13,,
accommodation,development,0,14,,
accompanied,architecture,0,15,,
achromatic,coloration,0,16,,
acicular,shape,0,17,,
acuminate,density,0,18,,
acuminate,shape,0,19,,
acute,shape,0,20,,
acute_angular,shape,1,21,,
adhering,position,0,22,,
adipose_fin,structure,0,23,,
adjacent,position,0,24,,
admedian,position,0,25,,
adopted,development,0,26,,
adpressed,arrangement,0,27,,
adult,life_style,1,28,,
advance,development,1,29,,
aedeagal,structure,0,30,,
aedeagalvolsellar,structure,1,31,,
aeneous,coloration,0,32,,
aerolate,surface_sculpture,0,33,,
affinities,comparison,0,34,,
afterneck,position,0,35,,
alcohol,structure,0,36,,
align,arrangement,1,37,,
alike,comparison,0,38,,
alitrunk,structure,1,39,,
allied,comparison,0,40,,
allometric,shape,0,41,,
alternating,arrangement,0,42,,
alutaceous,coloration,0,43,,
alveolate,surface_sculpture,0,44,,
alveolate_areolate,surface_sculpture,0,45,,
amber,coloration,0,46,,
ambiguous,prominence,0,47,,
ample,coloration,0,48,,
ampyx,structure,0,49,,
anal,position,0,50,,
anal_caudal,position,0,51,,
analfin,structure,1,52,,
anastomosing,architecture,0,53,,
anchor_tipped,shape,0,54,,
anepisternum,structure,0,55,,
angle,structure,1,56,,
angle_like,shape,1,57,,
angulo_convex,shape,0,58,,
annulated,shape,0,59,,
annulus,structure,0,60,,
anteanalis,structure,0,61,,
antenna,structure,1,62,,
antennomeres,structure,0,63,,
antennse,structure,0,64,,
antepenultimate,shape,0,65,,
anteriad,position,0,66,,
anterio_basal,position,1,67,,
anterior,position,0,68,,
anterior_posterior,position,0,69,,
anterior_ventral,position,1,70,,
anteriorly_directed,direction,0,71,,
anteriormost,position,0,72,,
antero,position,0,73,,
anterodorsal,position,1,74,,
anteroinferior,position,1,75,,
anterolateral,position,0,76,,
anteromedial,position,0,77,,
anteromesial,position,0,78,,
anus,structure,0,79,,
aperture,structure,0,80,,
apex,structure,1,81,,
apical,position,1,82,,
apicodorsal,position,0,83,,
apicolateral,position,0,84,,
apicomedian,position,0,85,,
apicoscrobal,position,0,86,,
apicoventral,position,0,87,,
apilose,shape,0,88,,
apophysis,structure,0,89,,
apparent,presence,0,90,,
appearance,manifestation,0,91,,
appendage,structure,1,92,,
appreciable,presence,0,93,,
appressed,orientation,0,94,,
approximate,arrangement,0,95,,
apressed,shape,0,96,,
apterous,shape,0,97,,
arboreal,life_style,0,98,,
arc,shape,1,99,,
arch,structure,0,100,,
arched_rugose,surface_sculpture,0,101,,
arched_transverse,shape,0,102,,
arching,orientation,0,103,,
arcuate,shape,1,104,,
area,structure,1,105,,
areolate,shape,0,106,,
areolet,surface_sculpture,0,107,,
argentina,distribution,0,108,,
arid,intensity_level,0,109,,
arising,orientation,0,110,,
arm_like,shape,0,111,,
armature,structure,0,112,,
armed,surface_configuration,0,113,,
armed,structure,0,114,,
arranged,arrangement,1,115,,
arrowhead,shape,0,116,,
articular,shape,0,117,,
articulate,architecture,1,118,,
articulation,structure,0,119,,
ascending,orientation,0,120,,
ascertained,prominence,0,121,,
asetose,surface_sculpture,0,122,,
ashy,coloration,0,123,,
ashy_black,coloration,0,124,,
aspect,structure,0,125,,
assimilate,orientation,0,126,,
asymmetrical,shape,0,127,,
ate,surface_sculpture,0,128,,
attachment,fusion,0,129,,
attenuata,structure,0,130,,
attenuate,shape,1,131,,
auriculate,shape,0,132,,
australia,distribution,0,133,,
axilla,structure,0,134,,
axillary,position,0,135,,
axis,structure,0,136,,
back,position,0,137,,
background,structure,0,138,,
backward,direction,1,139,,
backward_curved,shape,0,140,,
backward_directed,direction,0,141,,
backward_pointing,direction,0,142,,
band,structure,1,143,,
banded,coloration,0,144,,
barbulate,structure,0,145,,
bare,density,0,146,,
bare,coating,0,147,,
bars,structure,0,148,,
basad,position,0,149,,
basal,position,0,150,,
basalmost,position,0,151,,
base,structure,1,152,,
basic,prominence,0,153,,
basidorsal,position,0,154,,
basigastral,position,0,155,,
basitarsus,structure,0,156,,
beaded,shape,0,157,,
beaklike,shape,0,158,,
beard,structure,0,159,,
bearing,presence,0,160,,
beautiful,prominence,0,161,,
bellshaped,shape,0,162,,
belt,structure,0,163,,
bend,shape,1,164,,
beset,density,0,165,,
best,comparison,0,166,,
better,comparison,0,167,,
bicarinate,shape,0,168,,
bicolored,coloration,1,169,,
biconvex,shape,0,170,,
bidens,shape,0,171,,
bidentate,shape,0,172,,
bifid,shape,0,173,,
bifurcate,shape,0,174,,
bifurcates,architecture,1,175,,
bifurcation,structure,0,176,,
big,size,1,177,,
bilateral,arrangement,0,178,,
bilobate,shape,1,179,,
bisected,shape,1,180,,
biserial,arrangement,0,181,,
bispinose,shape,0,182,,
bituberculate,shape,0,183,,
bizarre,normality,0,184,,
black,coloration,1,185,,
blackish_red,coloration,0,186,,
blackishbrown,coloration,0,187,,
blade,structure,0,188,,
bladelike,shape,1,189,,
blanketed,shape,0,190,,
blending,fusion,0,191,,
blight,reflectance,0,192,,
blind,behaviour,0,193,,
blood,coloration,0,194,,
bloom,architecture,0,195,,
blotch,structure,1,196,,
blotch_like,shape,0,197,,
blue,coloration,1,198,,
blue_green,coloration,0,199,,
bluish_green,coloration,1,200,,
blunt,shape,1,201,,
blunt_angled,shape,0,202,,
blurring,presence,0,203,,
boat_shaped,shape,0,204,,
body,structure,0,205,,
bolivian,structure,0,206,,
boliviana,structure,0,207,,
border,structure,1,208,,
bordered,size,1,209,,
boss,structure,0,210,,
bottom,structure,0,211,,
bounding,direction,0,212,,
bowed,shape,0,213,,
box_shaped,shape,1,214,,
brachypterous,structure,0,215,,
branched,architecture,1,216,,
branches,structure,0,217,,
brazilian,distribution,0,218,,
breadth,structure,0,219,,
breaks,absence,0,220,,
bridge,structure,0,221,,
brief,size,0,222,,
bright,coloration,0,223,,
bright,reflectance,1,224,,
bristle_like,shape,0,225,,
bristles,structure,0,226,,
broad,width,0,227,,
broad_based,shape,0,228,,
broadbased,size,0,229,,
broadened,size,1,230,,
broader,width,0,231,,
broadly_based,size,0,232,,
broken,architecture,0,233,,
bronze,coloration,0,234,,
brown,coloration,1,235,,
brown_black,coloration,1,236,,
brown_yellow,coloration,1,237,,
brush,architecture,0,238,,
buccal,structure,0,239,,
bucculenta,structure,0,240,,
bulb,structure,0,241,,
bulbous,shape,0,242,,
bulgaria,structure,0,243,,
bulge,shape,1,244,,
bulk,size,0,245,,
bulla,structure,0,246,,
c_shape,shape,1,247,,
calcaria,structure,0,248,,
callow,life_style,0,249,,
callus,structure,0,250,,
campaniform,shape,0,251,,
campanulate,shape,0,252,,
canted,direction,0,253,,
cap,shape,0,254,,
capsule,nominative,0,255,,
captured,presence,0,256,,
carina,structure,0,257,,
carina_like,shape,0,258,,
carinae,structure,0,259,,
carinate,surface_sculpture,1,260,,
carinule,structure,1,261,,
carton,surface_sculpture,0,262,,
carved,shape,0,263,,
cast,structure,0,264,,
castaneous,coloration,0,265,,
caste,structure,0,266,,
caudad,structure,0,267,,
caudal,position,0,268,,
caudal_fin,structure,0,269,,
cell,structure,1,270,,
center,position,1,271,,
cephalad,position,0,272,,
cephalic,structure,0,273,,
cervical,position,0,274,,
cervix,structure,0,275,,
channel,structure,0,276,,
channeled,shape,0,277,,
chaotic,density,0,278,,
characters,character,0,279,,
cheek,structure,1,280,,
chestnut,coloration,1,281,,
chewing,behaviour,0,282,,
chief,prominence,0,283,,
chitinized,surface_sculpture,0,284,,
chitinous,surface_sculpture,0,285,,
chocolate,coloration,0,286,,
chord,position,0,287,,
cilia_like,shape,0,288,,
ciliary,architecture,1,289,,
cinereous,coloration,0,290,,
circa,structure,0,291,,
circlet,structure,0,292,,
circular,shape,0,293,,
circumscribe,direction,0,294,,
claret_coloured,coloration,0,295,,
clasping,architecture,0,296,,
clathrate,architecture,0,297,,
clavate,shape,1,298,,
clavato,shape,0,299,,
clay,coloration,0,300,,
clean,surface_sculpture,1,301,,
clean_cut,surface_sculpture,0,302,,
clear,coloration,0,303,,
cleft,shape,0,304,,
cleithrum,structure,0,305,,
close,arrangement,0,306,,
close_packed,density,0,307,,
close_packed,arrangement,0,308,,
close_set,arrangement,0,309,,
closed,closure,0,310,,
closely_spaced,surface_configuration,0,311,,
closer,size,0,312,,
closest,position,0,313,,
closing,architecture,0,314,,
cloud,coloration,1,315,,
club,structure,0,316,,
clubbing,arrangement,0,317,,
cluster,arrangement,1,318,,
clustered,density,0,319,,
clypeal,position,0,320,,
clypeus,structure,0,321,,
coalesced,shape,0,322,,
coarse,surface_sculpture,1,323,,
coastal,surface_sculpture,0,324,,
coated,surface_sculpture,0,325,,
coidal,shape,0,326,,
collar,structure,0,327,,
colon,shape,0,328,,
colonel,shape,0,329,,
color,coloration,1,330,,
colorless,coloration,1,331,,
column,structure,0,332,,
combined,arrangement,0,333,,
common,comparison,0,334,,
common,normality,1,335,,
commuted,density,0,336,,
compact,architecture,0,337,,
complement,density,0,338,,
complete,development,0,339,,
complex,density,0,340,,
composite,architecture,0,341,,
compound,architecture,0,342,,
compressed,shape,0,343,,
concave,shape,0,344,,
concavity,structure,0,345,,
concealed,manifestation,0,346,,
concentrated,arrangement,0,347,,
concentric,position,0,348,,
concert,density,0,349,,
concolorous,coloration,0,350,,
concordance,comparison,0,351,,
conduct,direction,0,352,,
cone_shaped,shape,0,353,,
confident,intensity_level,0,354,,
confine,presence,0,355,,
confined,size,0,356,,
confluence,shape,0,357,,
confluent,direction,0,358,,
confounded,fusion,0,359,,
congeners,structure,0,360,,
conic,shape,1,361,,
conjoined,fusion,0,362,,
connected,fusion,1,363,,
considerable,size,0,364,,
consistent,comparison,0,365,,
conspicuous,manifestation,0,366,,
constant,orientation,0,367,,
constituents,structure,0,368,,
constricted,size,0,369,,
constriction,structure,0,370,,
consulcuous,arrangement,0,371,,
continguous,arrangement,1,372,,
continous,arrangement,0,373,,
continuous,architecture,0,374,,
contours,structure,0,375,,
contracta,structure,0,376,,
contracted,size,0,377,,
contrast,coloration,1,378,,
conulate,shape,0,379,,
converge,direction,1,380,,
converted,direction,0,381,,
convex,shape,0,382,,
convexity,structure,0,383,,
copper,coloration,1,384,,
copulation,behaviour,0,385,,
copulation,reproduction,0,386,,
copulatory,reproduction,0,387,,
cordate,shape,0,388,,
coriaceous,external_texture,0,389,,
coriarious,surface_sculpture,0,390,,
corner,structure,1,391,,
corner_like,shape,0,392,,
cornulate,surface_sculpture,0,393,,
coronal,position,0,394,,
costal,insertion,0,395,,
costal,position,0,396,,
costate,architecture,0,397,,
costulae,structure,0,398,,
costulate,surface_sculpture,0,399,,
costulate_rugulose,surface_sculpture,0,400,,
costulation,structure,0,401,,
countless,count,0,402,,
counts,structure,0,403,,
couple,count,0,404,,
couplet,structure,0,405,,
course,surface_sculpture,0,406,,
covering,density,0,407,,
coxa,structure,1,408,,
cranial,position,0,409,,
cranium,structure,0,410,,
cream_colored,coloration,1,411,,
crenate,shape,0,412,,
crenulate,surface_sculpture,1,413,,
crescent_shaped,shape,1,414,,
crest,position,0,415,,
crest,structure,1,416,,
crested,shape,0,417,,
cristulations,structure,0,418,,
crowded,architecture,0,419,,
crucial,condition,0,420,,
cryptic_foraging,architecture,0,421,,
crypto_nephric,architecture,0,422,,
cryptopone,architecture,0,423,,
cubic,shape,1,424,,
cultrate,shape,0,425,,
cuneate,shape,0,426,,
cupuliform,shape,0,427,,
curled,shape,0,428,,
cursor,shape,0,429,,
curtain,structure,0,430,,
curvature,shape,0,431,,
curve,shape,1,432,,
curved_clavate,shape,0,433,,
curvilinear,direction,0,434,,
cut,shape,0,435,,
cuticle,structure,1,436,,
cylindric,shape,1,437,,
damage,fragility,0,438,,
dark,coloration,1,439,,
dark_redbrown,coloration,0,440,,
darkbrown,coloration,0,441,,
dead,life_style,0,442,,
dealated,life_style,0,443,,
decline,direction,0,444,,
declivitous,shape,1,445,,
declivity,structure,0,446,,
decreases,intensity_level,0,447,,
decreasing,development,0,448,,
decumbent,direction,0,449,,
decumbent,development,0,450,,
decurved,shape,0,451,,
deep,depth,1,452,,
defined,presence,0,453,,
definite,intensity_level,0,454,,
deflected,direction,0,455,,
degree,intensity_level,0,456,,
degrees,count,0,457,,
delicate,intensity_level,0,458,,
delicate,fragility,0,459,,
delimited,derivation,1,460,,
demarcated,presence,1,461,,
demonstrate,presence,1,462,,
dendrophilous,structure,0,463,,
denoted,presence,0,464,,
dense,density,1,465,,
density,character,1,466,,
dental,structure,0,467,,
dentary,structure,1,468,,
dentate,shape,0,469,,
denticle,structure,1,470,,
denticulate,shape,0,471,,
denticulated,architecture,0,472,,
dentiform,shape,0,473,,
dentition,arrangement,0,474,,
denudate,presence,0,475,,
depicted,presence,0,476,,
depigmented,coloration,0,477,,
deposited,presence,0,478,,
depressed,depth,0,479,,
depression,structure,0,480,,
depth,depth,0,481,,
derivation,character,0,482,,
derivative,derivation,0,483,,
derived,derivation,0,484,,
descending,orientation,0,485,,
descends,direction,0,486,,
describe,presence,1,487,,
destitute,density,0,488,,
detected,presence,0,489,,
devastations,arrangement,0,490,,
develop,development,1,491,,
deviation,direction,0,492,,
devoid,absence,0,493,,
devoid,presence,0,494,,
diagnosed,manifestation,0,495,,
diagnostic,manifestation,0,496,,
diagonal,orientation,0,497,,
diamond_shaped,shape,1,498,,
diastemata,structure,0,499,,
dichthadiiform,shape,0,500,,
differ,differentiation,1,501,,
differences,differentiation,1,502,,
differential,differentiation,0,503,,
differentiate,differentiation,1,504,,
differently_shaped,shape,0,505,,
diffuse,density,0,506,,
digestion,structure,0,507,,
digital,structure,0,508,,
digitate,architecture,0,509,,
digitiform,shape,0,510,,
dilated,size,1,511,,
dilute,intensity_level,1,512,,
diminishing,intensity_level,0,513,,
diminutive,intensity_level,0,514,,
dimorphic,habit,0,515,,
dimorphism,coloration,0,516,,
dingy,reflectance,0,517,,
dip,structure,0,518,,
dipping,presence,0,519,,
directed,direction,0,520,,
dirt,coloration,1,521,,
disc,structure,0,522,,
discal,shape,1,523,,
discernible,presence,1,524,,
discontinued,arrangement,1,525,,
discordant,arrangement,0,526,,
discounting,count,0,527,,
discovered,presence,0,528,,
discrete,fusion,0,529,,
discriminate,differentiation,0,530,,
dish_shaped,shape,0,531,,
disorganised,arrangement,1,532,,
dispersed,arrangement,0,533,,
displaced,arrangement,0,534,,
displaying,presence,0,535,,
disposed,arrangement,0,536,,
disrupted,arrangement,0,537,,
dissected,differentiation,0,538,,
distad,position,0,539,,
distal,position,1,540,,
distant,arrangement,0,541,,
distended,size,0,542,,
distension,size,0,543,,
distin_guishes,prominence,0,544,,
distinct,prominence,1,545,,
distinctively_shaped,prominence,0,546,,
distinguish,prominence,1,547,,
distributed,distribution,0,548,,
distributed,arrangement,0,549,,
distribution,variability,0,550,,
disturbed,insertion,0,551,,
diverge,direction,1,552,,
diverges,structure,0,553,,
diverse,variability,0,554,,
diversipilosa,structure,0,555,,
diversity,variability,0,556,,
divisional,arrangement,0,557,,
domain,prominence,0,558,,
dome,structure,0,559,,
dome_like,shape,1,560,,
dominated,prominence,1,561,,
dorsal,position,1,562,,
dorsal_caudal,position,1,563,,
dorsal_fin,structure,0,564,,
dorsally_directed,direction,0,565,,
dorsaloblique,position,0,566,,
dorso_anterior,position,0,567,,
dorso_lateral,position,1,568,,
dorso_oblique,position,0,569,,
dorsomedial,position,0,570,,
dorsoposterior,position,0,571,,
dorsoventral,position,0,572,,
dorsum,structure,0,573,,
dot,structure,1,574,,
dot_like,shape,0,575,,
double,count,0,576,,
doubling,prominence,0,577,,
downcurvature,direction,0,578,,
downcurved,shape,0,579,,
downward,direction,1,580,,
downy,surface_sculpture,0,581,,
dozen,count,0,582,,
drawn_out,direction,0,583,,
dried,condition,0,584,,
drop_shaped,shape,0,585,,
dropping,direction,0,586,,
dry,condition,0,587,,
dull,reflectance,0,588,,
duller,shape,0,589,,
dusky,coloration,0,590,,
dusty,coating,0,591,,
dwelling,presence,0,592,,
earlier,presence,0,593,,
ecarinate,surface_sculpture,0,594,,
ecarinate,shape,0,595,,
eccentric,position,0,596,,
edentate,absence,0,597,,
edge,structure,0,598,,
edged,architecture,0,599,,
effaced,presence,0,600,,
effulgence,reflectance,0,601,,
egg_shaped,shape,0,602,,
eight,count,0,603,,
eightteenth,position,0,604,,
eigth,position,0,605,,
elaboration,intensity_level,0,606,,
elbowed,shape,0,607,,
elements,structure,0,608,,
elevated,depth,0,609,,
elevated,prominence,0,610,,
elevation,structure,0,611,,
eleven,count,0,612,,
eleventh,count,0,613,,
ellipsoid,shape,1,614,,
elliptic,arrangement,0,615,,
elongate,shape,1,616,,
elongate_rounded,shape,0,617,,
elongate_spiniform,shape,0,618,,
elongateovate,shape,0,619,,
elongatequadrate,shape,0,620,,
elongaterectangular,shape,0,621,,
elongatetriangular,shape,0,622,,
emarginate,shape,1,623,,
emargination,structure,0,624,,
embedded,location,0,625,,
embracing,direction,0,626,,
emerging,prominence,0,627,,
emphasis,prominence,0,628,,
encapsulated,fusion,0,629,,
encircle,direction,1,630,,
enclose,presence,1,631,,
enclosed,location,0,632,,
encroachment,insertion,0,633,,
end,position,0,634,,
ending,absence,0,635,,
ends,structure,0,636,,
enlarged,size,0,637,,
enormous,size,0,638,,
enough,density,0,639,,
ensuing,direction,0,640,,
entire,shape,0,641,,
entirety,density,0,642,,
entrance,structure,0,643,,
enumerated,presence,0,644,,
epaulet,structure,0,645,,
epi,position,0,646,,
epigaeic,life_style,0,647,,
epinotal,structure,0,648,,
epinotum,structure,0,649,,
episternal,structure,0,650,,
epistomal,structure,0,651,,
epomia,structure,0,652,,
equal,comparison,1,653,,
equidistant,length,0,654,,
equidistant,shape,0,655,,
equilateral,comparison,0,656,,
equipped,presence,0,657,,
erect,orientation,0,658,,
erected,direction,0,659,,
ergatoid,life_style,0,660,,
ergatomorphic,life_style,0,661,,
esca,structure,0,662,,
essential,intensity_level,0,663,,
establish,presence,0,664,,
etched,surface_sculpture,0,665,,
etchings,structure,0,666,,
etymology,structure,0,667,,
evanescent,presence,0,668,,
even,variability,0,669,,
evidence,structure,0,670,,
evident,presence,0,671,,
exaggerated,intensity_level,0,672,,
excavate,architecture,1,673,,
excavations,structure,0,674,,
exceeding,comparison,0,675,,
excised,architecture,1,676,,
exclusive,absence,0,677,,
exemplified,presence,0,678,,
exist,presence,0,679,,
exocrine,structure,0,680,,
expanded,size,1,681,,
exposed,presence,1,682,,
expressed,presence,1,683,,
exserted,position,0,684,,
exsiting,presence,0,685,,
extant,size,0,686,,
extends,size,0,687,,
extensive,density,0,688,,
extensor_flexor,structure,0,689,,
exterior,position,1,690,,
externo_medial,position,0,691,,
extra,intensity_level,0,692,,
extra_intestinal,intensity_level,0,693,,
extraordinary,nomality,0,694,,
extreme,intensity_level,0,695,,
extrudes,development,0,696,,
exudatory,development,0,697,,
eye,structure,1,698,,
face,structure,1,699,,
facets,structure,0,700,,
facial,structure,0,701,,
fade,intensity_level,1,702,,
fail,intensity_level,1,703,,
faint,intensity_level,1,704,,
falciform,shape,0,705,,
fall,direction,1,706,,
fan_like,shape,1,707,,
far,size,0,708,,
farther,life_style,0,709,,
fascia,structure,0,710,,
fashion,structure,0,711,,
fauna,structure,0,712,,
feae,structure,0,713,,
feeble,intensity_level,1,714,,
feeding,habit,0,715,,
female,reproduction,1,716,,
femur,structure,1,717,,
ferraginous,coloration,0,718,,
ferrugineus,coloration,0,719,,
ferruginous,coloration,1,720,,
fertile,reproduction,0,721,,
festoon,structure,0,722,,
few,density,1,723,,
field,structure,0,724,,
fifteenth,position,0,725,,
fifth,count,0,726,,
fig,manifestation,0,727,,
fig,nominative,0,728,,
fight,habit,1,729,,
filamentous,structure,0,730,,
filaments,structure,0,731,,
filiform,shape,0,732,,
fill,presence,1,733,,
film,reflectance,0,734,,
fin,structure,0,735,,
fine,size,1,736,,
finest,surface_sculpture,0,737,,
finetipped,shape,0,738,,
fingerlike,shape,0,739,,
fingerprint_like,shape,0,740,,
finishing,presence,0,741,,
finlet,structure,1,742,,
fins,structure,0,743,,
first,position,0,744,,
fission,differentiation,0,745,,
fissure,structure,0,746,,
five,count,0,747,,
five_jointed,shape,0,748,,
flagel,structure,0,749,,
flagellar,structure,1,750,,
flagelliform,shape,0,751,,
flagellomeres,structure,0,752,,
flagellum,structure,0,753,,
flanged,shape,0,754,,
flanked,position,1,755,,
flanks,structure,0,756,,
flap,position,0,757,,
flared,reflectance,0,758,,
flaring,shape,0,759,,
flaring,reflectance,0,760,,
flat,shape,1,761,,
flat_topped,shape,0,762,,
flavens_group,structure,0,763,,
flavohyaline,coloration,0,764,,
fleshy,texture,0,765,,
flexed,shape,0,766,,
flexible,variability,0,767,,
flexible,architecture,0,768,,
flexion,position,0,769,,
flexuous,course,0,770,,
flight,habit,0,771,,
flight_functional,habit,0,772,,
floor,structure,0,773,,
folded,arrangement,0,774,,
folded,shape,0,775,,
folds,structure,0,776,,
foliaceous,surface_sculpture,0,777,,
food_pellet,structure,0,778,,
footstalk,structure,0,779,,
foraging,habit,0,780,,
forcipate,shape,0,781,,
fore,position,0,782,,
fore_half,position,0,783,,
forecoxa,structure,1,784,,
forego,position,0,785,,
forehead,structure,0,786,,
foremost,position,0,787,,
fork,structure,0,788,,
former,position,0,789,,
forth,count,0,790,,
forward,direction,1,791,,
forward_projecting,shape,0,792,,
four,count,1,793,,
four_segmented,count,0,794,,
fourteenth,position,0,795,,
